[mea_500kV_1]同期数据---kV/kA		同期电压类型：A相-相电压
TIME		V-local		V-remote		f-local		f-remote		Delta-V		Delta-a		Delta-f		Delta-w
    0.000000,	 0.007\90.000,	 0.007\90.000,	   -1.#IND00,	   -1.#IND00,	    0.000000,	    0.000000,	   -1.#IND00,	   -1.#IND00
    0.000000,	 0.065\90.778,	 0.065\90.778,	   -1.#IND00,	   -1.#IND00,	    0.000003,	    0.000023,	   -1.#IND00,	   -1.#IND00
    0.000375,	 0.225\92.383,	 0.225\92.383,	   -1.#IND00,	   -1.#IND00,	    0.000007,	    0.000028,	   -1.#IND00,	   -1.#IND00
    0.000792,	 0.514\94.304,	 0.514\94.304,	   -1.#IND00,	   -1.#IND00,	    0.000014,	    0.000032,	   -1.#IND00,	   -1.#IND00
    0.001208,	 0.941\96.413,	 0.941\96.413,	   -1.#IND00,	   -1.#IND00,	    0.000023,	    0.000035,	   -1.#IND00,	   -1.#IND00
    0.001625,	 1.504\98.651,	 1.504\98.651,	   -1.#IND00,	   -1.#IND00,	    0.000033,	    0.000038,	   -1.#IND00,	   -1.#IND00
    0.002042,	 2.199\100.969,	 2.199\100.969,	   -1.#IND00,	   -1.#IND00,	    0.000045,	    0.000041,	   -1.#IND00,	   -1.#IND00
    0.002458,	 3.003\103.416,	 3.003\103.416,	   -1.#IND00,	   -1.#IND00,	    0.000059,	    0.000044,	   -1.#IND00,	   -1.#IND00
    0.002875,	 3.870\106.081,	 3.870\106.081,	   33.938359,	   -1.#IND00,	    0.000073,	    0.000043,	   -1.#IND00,	   -1.#IND00
    0.003292,	 4.777\108.909,	 4.777\108.909,	   -1.#IND00,	   -1.#IND00,	    0.000089,	    0.000039,	   -1.#IND00,	   -1.#IND00
    0.003708,	 5.723\111.794,	 5.723\111.794,	   -1.#IND00,	   -1.#IND00,	    0.000107,	    0.000033,	   -1.#IND00,	   -1.#IND00
    0.004125,	 6.695\114.724,	 6.695\114.724,	   -1.#IND00,	   16.966336,	    0.000124,	    0.000029,	   -1.#IND00,	   -1.#IND00
    0.004542,	 7.661\117.777,	 7.661\117.777,	   44.175591,	   39.344700,	    0.000141,	    0.000027,	    4.830891,	   30.353381
    0.004958,	 8.569\121.084,	 8.569\121.084,	   50.950280,	   49.310873,	    0.000157,	    0.000028,	    1.639407,	   10.300696
    0.005375,	 9.377\124.747,	 9.377\124.747,	   25.940455,	   55.924872,	    0.000170,	    0.000030,	  -29.984417,	 -188.397648
    0.005792,	10.055\128.828,	10.055\128.828,	   28.472710,	   60.296736,	    0.000181,	    0.000033,	  -31.824025,	 -199.956245
    0.006208,	10.573\133.462,	10.573\133.462,	   57.668478,	   63.252825,	    0.000189,	    0.000038,	   -5.584347,	  -35.087488
